Year,A_TPCP,M_MNTM,M_MMXT
1910,NaN,NaN,NaN
1911,NaN,NaN,NaN
1912,NaN,NaN,NaN
1913,NaN,NaN,NaN
1914,1.4992,13.725,20.875
1915,1.2231,14.175,21.25
1916,2.2676,13.275,20.825
1917,1.5758,13.75,21.775
1918,2.2498,15.075,22.525
1919,2.0067,13.85,21.875
1920,1.7221,13.9,20.7
1921,2.4702,13.05,19.675
1922,1.6415,15.3,23.225
1923,1.6898,14.925,22.375
1924,1.6041,14.9,22.55
1925,1.94,14.1,20.975
1926,1.4336,14.025,21.2
1927,1.8153,14,20.35
1928,1.9845,14.375,21.175
1929,1.2057,13.975,21.575
1930,0.9321,13.725,20.25
1931,1.2573,13.875,21.375
1932,2.0281,13.975,21.45
1933,2.2835,12.925,20.15
1934,2.4622,14.125,21.15
1935,1.9641,15.025,22.6
1936,1.632,14.15,21
1937,1.3965,14.25,21.425
1938,1.8127,15.5,23.025
1939,1.6166,14.45,21.775
1940,1.5459,15.175,22.475
1941,1.1296,14.025,20.225
1942,1.4648,14.675,21.575
1943,1.8185,13.7,20.825
1944,1.3225,15,22.4
1945,1.5937,15.325,21.375
1946,1.7497,14.3,21.1
1947,1.9434,14,21.225
1948,2.1171,13.825,20.675
1949,1.786,14.55,22.275
1950,2.2259,14.95,23.025
1951,2.051,15.5,23.975
1952,1.4599,15.4,23.35
1953,1.5762,14.125,20.9
1954,1.9099,12.8,18.675
1955,1.7602,13.25,19.925
1956,2.3227,14.425,21.5
1957,1.7189,14.575,21.425
1958,1.691,16.5,23.825
1959,2.169,14,20.45
1960,2.095,14.8,22
1961,2.1823,16.1,24.125
1962,1.6859,14.525,21.675
1963,1.6491,14.525,21
1964,1.8409,12.925,19.775
1965,1.8349,15,22.45
1966,1.3544,14.15,20.975
1967,1.8803,17.05,25.45
1968,1.9312,14.325,21.175
1969,1.7116,14.5,21.375
1970,1.5507,14.25,22.3
1971,2.1247,13.575,20.975
1972,2.4449,13.575,20.8
1973,NaN,14.2,21.575
1974,2.3421,14.975,22.65
1975,1.6448,13.925,20.575
1976,2.0317,12.875,19.375
1977,1.0763,14.05,20.95
1978,1.8502,13.55,19.8
1979,1.3022,14.45,21.325
1980,1.5878,12.75,18.95
1981,1.713,13.85,20.425
1982,1.9619,14.075,20.8
1983,1.6467,12.425,17.9
1984,1.8475,13.225,20.35
1985,1.3709,14.075,21.375
1986,1.6552,13.475,20.525
1987,1.5137,15.075,22.5
1988,1.6179,14.25,21.875
1989,1.6158,14.45,21.95
1990,2.1036,15.3,22.225
1991,2.2127,14.65,21.45
1992,1.4146,14.85,21.775
1993,1.3275,13.45,19.75
1994,1.2307,14.775,22.15
1995,1.7355,14.3,21.2
1996,2.713,14.45,21.925
1997,2.5421,14.375,21.425
1998,1.6322,15.5,23.175
1999,2.0369,13.55,21.2
2000,1.7185,12.95,19.85
2001,1.161,14.3,20.775
2002,2.076,14.775,22.675
2003,1.5638,15.95,24.3
2004,NaN,15.375,22.05
2005,1.2256,14.15,21
2006,1.6917,15.3,22.75
2007,1.9515,14.275,21.675
2008,1.6463,13.525,21.2
2009,1.7097,15.275,23.325
2010,1.4702,13.25,20.025
2011,1.7268,13.825,20.95
2012,1.6034,14.8,21.925
2013,1.6279,15.225,21.725
2014,1.2827,15.025,21.775
2015,1.2139,15.875,23.65